2026-07-18 09:16:46.202 | info     |          Device | Opening user mode device driver (tt_cluster.cpp:228)
2026-07-18 09:16:46.202 | info     |             UMD | Cluster constructor started. (cluster.cpp:348)
2026-07-18 09:16:46.202 | info     |             UMD | Creating TopologyDiscovery for architecture: blackhole (topology_discovery.cpp:95)
2026-07-18 09:16:46.202 | info     |             UMD | Starting topology discovery. (topology_discovery.cpp:114)
2026-07-18 09:16:46.203 | warning  |             UMD | Setting power state failed on device 1: Invalid argument (pci_device.cpp:1073)
2026-07-18 09:16:46.204 | info     |             UMD | Established firmware bundle version: 18.8.0 (topology_discovery.cpp:574)
2026-07-18 09:16:46.204 | info     |             UMD | Completed topology discovery. (topology_discovery.cpp:118)
2026-07-18 09:16:46.261 | warning  |             UMD | Setting power state failed on device 1: Invalid argument (pci_device.cpp:1073)
2026-07-18 09:16:46.261 | info     |             UMD | Opening local chip ids/PCIe ids: {0}/[1] and remote chip ids {} (cluster.cpp:162)
2026-07-18 09:16:46.261 | info     |             UMD | IOMMU: enabled (cluster.cpp:142)
2026-07-18 09:16:46.261 | info     |             UMD | KMD version: 2.10.1 (cluster.cpp:145)
2026-07-18 09:16:46.261 | info     |             UMD | Cluster constructor completed. (cluster.cpp:520)
2026-07-18 09:16:46.263 | info     |             UMD | Starting devices in cluster (cluster.cpp:1024)
2026-07-18 09:16:46.272 | info     |             UMD | Starting devices in cluster completed. (cluster.cpp:1032)
2026-07-18 09:16:46.302 | warning  |       LLRuntime | Blackhole multi erisc mode requires ethernet firmware version 1.7.0 or higher, but detected version 1.4.2. Automatically falling back to single erisc mode for compatibility. (firmware_capability.cpp:31)
2026-07-18 09:16:48.507 | info     |     Distributed | Using auto discovery to generate mesh graph. (metal_env.cpp:408)
2026-07-18 09:16:48.507 | info     |     Distributed | Constructing control plane using auto-discovery (no mesh graph descriptor). (metal_env.cpp:470)
2026-07-18 09:16:48.508 | warning  |          Always | Unknown motherboard 'ProArt X870E-CREATOR WIFI' for chip_id=0 (bus_id=0x3) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:83)
2026-07-18 09:16:48.510 | info     |          Fabric | Logical multi-mesh adjacency: intermesh degree histogram {0:1}; intra-mesh degree histograms mesh0 {0:1} (topology_mapper_utils.cpp:2338)
2026-07-18 09:16:48.510 | info     |          Fabric | Physical multi-mesh adjacency: intermesh degree histogram {0:1}; intra-mesh degree histograms mesh0 {0:1} (topology_mapper_utils.cpp:2346)
2026-07-18 09:16:48.511 | warning  |          Fabric | Failed to export physical chip mesh coordinate mapping: filesystem error: cannot create directories: Read-only file system [/nix/store/lvjsflhy8x1jbv74jk6992y6s3vbp76a-tt-metal-0.74.0/libexec/tt-metalium/generated/fabric] (control_plane.cpp:597)
2026-07-18 09:16:48.511 | warning  |          Fabric | Failed to export ASIC to Fabric node ID mapping: filesystem error: cannot create directories: Read-only file system [/nix/store/lvjsflhy8x1jbv74jk6992y6s3vbp76a-tt-metal-0.74.0/libexec/tt-metalium/generated/fabric] (control_plane.cpp:606)
2026-07-18 09:16:50.570 | info     |           Metal | ShmResourceTracker: removed stale shm '/tt_d2h_3269261_2919896877_0' (shm_resource_tracker.cpp:265)
2026-07-18 09:16:50.570 | info     |           Metal | ShmResourceTracker: removed stale manifest '/dev/shm/tt_socket_manifest_3269261' (shm_resource_tracker.cpp:275)
2026-07-18 09:16:50.570 | info     |           Metal | ShmResourceTracker: removed orphaned shm '/tt_device_141176418206144_memory' (shm_resource_tracker.cpp:282)
2026-07-18 09:16:51.530 | info     |           Metal | [Real-time profiler] Device 0 sync complete: 100 samples, frequency=1.349996 GHz, device_time_at_sync=175715628759168 cycles (realtime_profiler_manager.cpp:1120)
2026-07-18 09:16:52.551 | info     |    BuildKernels | JIT cache stats: 0/21 hits (0.0%) [0 cached, 69 build-once dedup, 0 merged artifacts, 0 merged genfiles] (build_cache_telemetry.cpp:197)
2026-07-18 09:16:52.551 | info     |    BuildKernels | JIT telemetry: 2 registered TelemetryTokens (build_cache_telemetry.cpp:230)
2026-07-18 09:16:52.552 | info     |          Device | Closing user mode device drivers (tt_cluster.cpp:513)
2026-07-18 09:16:52.552 | info     |             UMD | Closing devices in cluster (cluster.cpp:1037)
2026-07-18 09:16:52.634 | info     |             UMD | Closing devices in cluster completed. (cluster.cpp:1046)
2026-07-18 09:16:52.634 | info     |             UMD | Cluster destructor started. (cluster.cpp:754)
2026-07-18 09:16:52.634 | info     |             UMD | Cluster destructor completed. (cluster.cpp:757)
2026-07-18 09:16:52.634 | warning  |             UMD | Setting power state failed on device 1: Invalid argument (pci_device.cpp:1073)
